DONATIONNUMBER,ITEMNUMBER,ITEMDESCRIPTION,DONATIONREASON,PACK,SIZE_,SIZEUOM,PACKAGINGTYPE,UNITOFMEASURE,QUANTITY,QUANTITYPERPALLET,TOTALPALLETS,GROSSWEIGHT,TOTALGROSSWEIGHT,NETWEIGHT,CUBE,STORAGEREQUIREMENT,MANUFACTUREDATE,EXPIRATIONDATE,SHELFLIFE,EXTENSION,USEBYDATE,BILLOFLADINGNUMBER,STATUS,CODEDATETYPE,MAGREFNUMBER
WD17120021,3800029563,Special K20 Tropical Blend Protein Water 4 ct. -,Disaster Relief,6/68.3,68.3,,,,50.0,50.0,1.0,28.04,1402.0,,,DRY,8/21/2017,,365,,8/21/2018,,Acknowledged,,2000
WD17120021,3800029566,Special K20 Strawberry Kiwi Protein Water 4 ct. -,Disaster Relief,6/68.3,68.3,,,,50.0,50.0,1.0,28.04,1402.0,,,DRY,8/22/2017,,365,,8/22/2018,,Acknowledged,,3000
WD17120021,3800031365,Special K20 Lemon Twist Protein Water SS 12 ct. -,Disaster Relief,12/17.1,17.1,,,,50.0,100.0,0.5,14.38,719.0,,,DRY,8/23/2017,,365,,8/23/2018,,Acknowledged,,4000
WD17120021,3800031409,SpK20 Tropical Blend Protein Water SS (12-16 fl. o,Disaster Relief,12/17.1,17.1,,,,50.0,100.0,0.5,14.38,719.0,,,DRY,8/24/2017,,365,,8/24/2018,,Acknowledged,,5000
WD17120021,3800031956,Special K20 Strawberry Kiwi Protein Water 12 ct. C,Disaster Relief,1/204.8,204.8,,,,50.0,100.0,0.5,14.38,719.0,,,DRY,8/25/2017,,366,,8/26/2018,,Acknowledged,,6000
WD17120021,3800031368,Special K20 Strawberry Kiwi Protein Water SS 12 ct,Disaster Relief,12/17.1,17.1,,,,50.0,100.0,0.5,14.38,719.0,,,DRY,8/26/2017,,365,,8/26/2018,,Acknowledged,,7000
WD17110049,3800032736,Special K20 Protein Water Club Varitey Pack,CLOSE CODE,1/204.8 CS,204.8,CS,Unknown,Each,145.0,15.0,9.66666666666667,14.38,2085.1,,,DRY,,8/27/2018,365,25,9/21/2018,,Acknowledged,,8000
WD17110049,3800033974,Pink Lemonade SPK2O On The Go Powder 7ct,Labelling Error/Change,6/3.6 CS,3.6,CS,Unknown,Each,65.0,25.0,2.6,2.14,139.1,,,DRY,,8/28/2018,365,25,9/22/2018,,Acknowledged,,9000
WD17110049,3800033970,Iced Tea SPK2O On The Go Powder 7ct,CLOSE CODE,6/3.4 CS,3.4,CS,Unknown,Each,89.0,20.0,4.45,2.06,183.34,,,DRY,,8/29/2018,365,25,9/23/2018,,Acknowledged,,10000
WD17110049,3800035094,SPK2O Mixed Berry SS,Discontinued Item,12/17.1 CS,17.1,CS,Unknown,Each,100.0,15.0,6.66666666666667,14.38,1438.0,,,DRY,,8/30/2018,365,25,9/24/2018,,Acknowledged,,11000
WD17110049,3800031958,Special K20 Tropical Blend Protein Water 12 ct. C,Avoid Dumpster Cost,1/204.8 CS,204.8,CS,Unknown,Each,100.0,15.0,6.66666666666667,14.38,1438.0,,,DRY,,8/31/2018,365,25,9/25/2018,,Acknowledged,,12000
WD17110125,SS4569,Frozen Cod,Test Product,10/8 Ounce,8,Ounce,,Case,500.0,25.0,20.0,25.0,12500.0,,,FROZEN,,12/1/2017,,10,12/11/2017,,Acknowledged,,1000
WD17110125,SS5698,Frozen Salmon,Discontinued Item,15/8 Ounce,8,Ounce,,Case,100.0,30.0,3.33333333333333,30.0,3000.0,,,FROZEN,1/1/2018,,,100,1/1/2018,,Acknowledged,,2000
WD17120021,3800029559,Special K20 Lemon Protein Water 4 ct. - 16 fl. oz.,Disaster Relief,6/68.3,68.3,,,,100.0,50.0,2.0,28.04,2804.0,,,DRY,8/20/2017,,365,,8/20/2018,,Acknowledged,,1000
WD17120021,3800032736,Special K20 Protein Water Club Varitey Pack,Disaster Relief,1/204.8,204.8,,,,50.0,100.0,0.5,14.38,719.0,,,DRY,8/27/2017,,366,,8/28/2018,,Acknowledged,,8000
WD17120021,3800033974,Pink Lemonade SPK2O On The Go Powder 7ct,Disaster Relief,6/3.6,3.6,,,,50.0,220.0,0.227272727272727,2.14,107.0,,,DRY,8/28/2017,,365,,8/28/2018,,Acknowledged,,9000
WD17120021,3800033970,Iced Tea SPK2O On The Go Powder 7ct,Disaster Relief,6/3.4,3.4,,,,35.0,220.0,0.159090909090909,2.06,72.1,,,DRY,8/29/2017,,366,,8/30/2018,,Acknowledged,,10000
WD17120021,3800035094,SPK2O Mixed Berry SS,Disaster Relief,12/17.1,17.1,,,,52.0,100.0,0.52,14.38,747.76,,,DRY,8/30/2017,,365,,8/30/2018,,Acknowledged,,11000
WD17120021,3800031958,Special K20 Tropical Blend Protein Water 12 ct. C,Disaster Relief,1/204.8,204.8,,,,52.0,100.0,0.52,14.38,747.76,,,DRY,8/31/2017,,366,,9/1/2018,,Acknowledged,,12000
WD17120035,Alaskanpollock02,4 oz O/R breaded Alaskan pollock portions 3 x 5 lb bags,OTHER,/ Cup,,Cup,,Totes,1417.0,95.0,14.0,15.0,21255.0,,,FROZEN,12/13/2017,,,,12/13/2017,,Acknowledged,,1000
WD17120035,Fishsticks01,1 oz Frz O/R Breaded Pollock Fish Sticks 1x10,OTHER,/ Display,,Display,,Tub,1492.0,140.0,10.0,10.0,14920.0,,,FROZEN,12/14/2017,,,,12/14/2017,,Acknowledged,,2000
WD17120041,Alaskanpollock02,4 oz O/R breaded Alaskan pollock portions 3 x 5 lb bags,OTHER,/ Bag,,Bag,,Bulk box,1417.0,95.0,14.9157894736842,15.0,21255.0,,,FROZEN,12/13/2017,,,20,1/2/2018,,Acknowledged,,1000
WD17120041,Fishsticks01,1 oz Frz O/R Breaded Pollock Fish Sticks 1x10,OTHER,/ Bag,,Bag,,Bulk box,1492.0,145.0,10.2896551724138,10.0,14920.0,,,FROZEN,12/14/2017,,,20,1/3/2018,,Acknowledged,,2000
WD0176693,926690,PANTENE EXP INT HYD SHAMPOO 9.6OZ,Discontinued Item,0/0 Box,0,Box,Box,Case,421.0,421.0,1.0,0.75,315.75,,,DRY,12/31/1752,12/31/1752,,,1/2/2028,,Acknowledged,,10000
D10804847,water,Bottled Water,Disaster Relief,0/0,0,,,Pallet,24.0,1.0,24.0,1750.0,42000.0,,,DRY,,,,,,,Acknowledged,,10000
D10804847,water,Bottled Water,Disaster Relief,0/0,0,,,Pallet,24.0,1.0,24.0,1750.0,42000.0,,,DRY,,,,,,,Acknowledged,,20000
D10804847,water,Bottled Water,Disaster Relief,0/0,0,,,Pallet,24.0,1.0,24.0,1750.0,42000.0,,,DRY,,,,,,,Acknowledged,,30000
D10804847,water,Bottled Water,Disaster Relief,0/0,0,,,Pallet,24.0,1.0,24.0,1750.0,42000.0,,,DRY,,,,,,,Acknowledged,,40000
D10804847,water,Bottled Water,Disaster Relief,0/0,0,,,Pallet,24.0,1.0,24.0,1750.0,42000.0,,,DRY,,,,,,,Acknowledged,,50000
D10804847,water,Bottled Water,Disaster Relief,0/0,0,,,Pallet,24.0,1.0,24.0,1750.0,42000.0,,,DRY,,,,,,,Acknowledged,,60000
D10804847,water,Bottled Water,Disaster Relief,0/0,0,,,Pallet,24.0,1.0,24.0,1750.0,42000.0,,,DRY,,,,,,,Acknowledged,,70000
WD18010197,931523,conair gentle&flexible comb,Discontinued Item,/,,,Other,Case,47.0,,,0.001,0.047,,,DRY,,,,,,,Acknowledged,,1000
WD18010197,931524,conair ultimate tease comb,Discontinued Item,/,,,Other,Case,73.0,,,0.05,3.65,,,DRY,,,,,,,Acknowledged,,2000
WD18010197,974257,conair wide tooth rake lift comb,Discontinued Item,/,,,Other,Case,107.0,,,0.06,6.42,,,DRY,,,,,,,Acknowledged,,3000
