org_id,entity_name,printable_name,status_flag,currency,currency_pattern,float_pattern,group_separator,group_size,decimal_char,language,country,time_zone,org_type,created_time,created_by,modified_time,modified_by,sys_flags,path,years_in_business,industry_val_num,annual_rev_vid,emp_count_vid,oca,parent_org_id,master_org_id
ORG_00004KKG,ChattanoogaPlant,Chattanooga Plant,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-27 21:00:32,USER_00004K1T,2003-05-27 21:01:09,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KKG,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KND,LittleChute,Little Chute,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-28 10:40:08,USER_00004K1T,2003-05-28 10:40:49,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KND,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KNE,KraftPizza,Kraft Pizza,I,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-28 15:43:52,USER_00004IV5,2005-03-14 16:17:59,USER_00004NRH,0,ORG_00000001.ORG_00004IFH.ORG_00004KNE,0.0,0.0,0.0,0.0,5,ORG_00004IFH,ORG_00004IFH
ORG_00004KNF,LittleChutePizza,Little Chute Pizza,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-28 15:49:45,USER_00004IV5,2005-03-14 16:17:47,USER_00004NRH,0,ORG_00000001.ORG_00004IFH.ORG_00004KNE.ORG_00004KNF,0.0,0.0,0.0,0.0,3,ORG_00004KNE,ORG_00004IFH
ORG_00004KNG,Jonesboro,Jonesboro Plant,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-28 20:38:51,USER_00004IV5,2003-05-28 20:39:33,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KNG,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KNH,BattleCreek,Battle Creek,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-28 20:43:40,USER_00004IV5,2003-05-28 20:44:37,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KNH,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KNI,BattleCreekZC,South Central Michigan Cluster,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-29 20:38:47,USER_00004K1T,2006-01-04 22:36:17,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KNI,0.0,0.0,0.0,0.0,4,ORG_00004IFI,ORG_00004IFI
ORG_00004KNJ,HillsideZD,Hillside Decentralized Cluster,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-29 20:41:24,USER_00004K1T,2006-01-05 00:47:00,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KNJ,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KNK,SaltLakeCity,Salt Lake City - Utah Food Bank,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-29 20:44:48,USER_00004K1T,2007-06-19 21:39:12,USER_00004SE9,0,ORG_00000001.ORG_00004IFI.ORG_00004KNK,0.0,0.0,0.0,0.0,5,ORG_00004IFI,ORG_00004IFI
ORG_00004KNL,Houston,Houston,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-29 20:48:58,USER_00004K1T,2007-10-09 21:36:29,USER_00004SE9,0,ORG_00000001.ORG_00004IFI.ORG_00004KNL,0.0,0.0,0.0,0.0,13,ORG_00004IFI,ORG_00004IFI
ORG_00004KNM,UDI,UDI Plant,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-29 21:04:59,USER_00004IV5,2003-05-29 21:14:02,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KNM,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KNN,SouthEdmeston,South Edmeston,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-29 21:05:31,USER_00004IV5,2003-05-29 21:10:29,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KNN,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KNO,Weyauwega,Weyauwega - Churny CO,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-29 21:06:14,USER_00004IV5,2003-05-29 21:12:22,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KNO,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KQH,Hillside,Hillside,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-05-30 13:11:03,USER_00004K1T,2006-01-05 00:46:02,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KQH,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KTL,ConAgraGrocery,ConAgra Grocery,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-06-11 17:04:49,USER_00004IV5,2003-06-11 17:25:13,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004KTL,0.0,0.0,0.0,0.0,1,ORG_00004IFH,ORG_00004IFH
ORG_00004JRB,LansingZC,Unknown,I,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-03-20 18:30:49,USER_00004IV5,2006-01-05 01:01:37,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JRB,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JRC,SanJoseZC,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-03-20 18:32:11,USER_00004IV5,2006-01-09 16:54:33,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JRC,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JRD,PhoenixZD,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-03-20 18:49:09,USER_00004IV5,2006-01-05 23:59:43,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JRD,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004JUD,OliveGarden,Olive Garden,I,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-02 15:25:12,USER_00004IV5,2003-04-02 15:33:24,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004JUD,0.0,0.0,0.0,0.0,5,ORG_00004IFH,ORG_00004IFH
ORG_00004JUE,SanFranciscoZC,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 16:51:03,USER_00004IV5,2006-01-09 16:52:25,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUE,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
