org_id,org_name,status,created_time,currency,data_source
ORG_00004JI4,ColumbusZD,Active,2003-02-24 17:49:27,USD,Choice
ORG_00004JI5,FtWorthZC,Active,2003-02-24 17:50:34,USD,Choice
ORG_00004JI6,OklahomaCity,Active,2003-02-24 17:51:29,USD,Choice
ORG_00004JI7,OklahomaCityZD,Active,2003-02-24 17:52:15,USD,Choice
ORG_00004JL1,Dallas,Active,2003-03-04 17:08:23,USD,Choice
ORG_00004JO5,Atlanta,Active,2003-03-06 22:06:39,USD,Choice
ORG_00004JO6,BethanyZC,Active,2003-03-06 22:07:55,USD,Choice
ORG_00004JO7,LosAngeles,Active,2003-03-06 22:08:20,USD,Choice
ORG_00004JO8,Portland,Active,2003-03-06 22:08:51,USD,Choice
ORG_00004JO9,Urbana,Active,2003-03-06 22:09:08,USD,Choice
ORG_00004JR9,ClevelandZC,Active,2003-03-20 18:25:00,USD,Choice
ORG_00004JRA,KansasCity,Active,2003-03-20 18:28:15,USD,Choice
ORG_00004M9D,NewYork,Active,2003-09-26 18:40:07,USD,Choice
ORG_00004MCH,AllenCanning,Active,2003-10-01 16:17:35,USD,Choice
ORG_00004MCI,MasonCity,Active,2003-10-03 16:48:16,USD,Choice
ORG_00004MCJ,GraniteCity,Active,2003-10-03 16:53:41,USD,Choice
ORG_00004MCK,Watsonville,Active,2003-10-03 19:14:55,USD,Choice
ORG_00004MCL,Odessa,Active,2003-10-06 20:58:00,USD,Choice
ORG_00004MCM,JacksonvilleMH,Active,2003-10-07 15:52:28,USD,Choice
ORG_00004MFL,Youngstown,Active,2003-10-13 14:52:14,USD,Choice
ORG_00004MFM,Suffolk,Active,2003-10-15 19:10:26,USD,Choice
ORG_00004MIP,Welchs,Active,2003-11-04 22:17:16,USD,Choice
ORG_00004MIQ,HersheyChocolate,Active,2003-11-06 17:16:56,USD,Choice
ORG_00004MIR,Hauppauge,Active,2003-11-10 20:53:09,USD,Choice
ORG_00004MIS,Hawaii,Active,2003-11-10 20:53:31,USD,Choice
ORG_00004MIT,Naperville,Active,2003-11-12 21:32:13,USD,Choice
ORG_00004MIU,Longmont,Active,2003-11-17 16:23:20,USD,Choice
ORG_00004MIV,Cincinnati,Active,2003-11-20 16:55:00,USD,Choice
ORG_00004MLT,Medford,Active,2003-12-05 16:55:57,USD,Choice
ORG_00004MLU,FortCollins,Active,2003-12-16 21:09:18,USD,Choice
ORG_00004MLV,Birmingham,Active,2003-12-18 21:24:07,USD,Choice
ORG_00004MM0,Valdosta,Active,2003-12-18 22:45:09,USD,Choice
ORG_00004MM1,Savannah,Active,2003-12-31 17:53:20,USD,Choice
ORG_00004MM2,Tampa,Active,2004-01-12 18:30:24,USD,Choice
ORG_00004MM3,StJoseph,Active,2004-01-12 18:37:52,USD,Choice
ORG_00004MM4,Missoula,Active,2004-01-12 18:38:13,USD,Choice
ORG_00004MM5,SacramentoZC,Active,2004-02-02 19:00:58,USD,Choice
ORG_00004MM6,Roanoke,Active,2004-02-04 20:51:06,USD,Choice
ORG_00004MM7,FtWayne,Active,2004-02-12 17:22:44,USD,Choice
ORG_00004MM8,Kinkos,Active,2004-02-18 16:20:24,USD,Choice
ORG_00004MM9,Lima,Active,2004-02-18 17:31:57,USD,Choice
ORG_00004MMA,Athens,Active,2004-02-18 17:46:40,USD,Choice
ORG_00004MMB,AnnArbor,Active,2004-02-18 19:47:30,USD,Choice
ORG_00004MMD,Springfield,Active,2004-02-20 17:35:36,USD,Choice
ORG_00004MME,Lincoln,Active,2004-02-26 15:24:39,USD,Choice
ORG_00004MMF,SpringfieldMO,Active,2004-02-26 15:39:25,USD,Choice
ORG_00004MP1,FtWorthZD,Active,2004-03-02 20:23:08,USD,Choice
ORG_00004MP2,Elmira,Active,2004-03-04 17:04:52,USD,Choice
ORG_00004MP3,NestleHandHeld,Active,2004-03-10 17:31:36,USD,Choice
ORG_00004MP4,ConAgraSnackFoods,Active,2004-03-11 19:02:13,USD,Choice
ORG_00004MP5,Sarasota,Active,2004-03-12 15:35:08,USD,Choice
ORG_00004MP6,Anchorage,Active,2004-03-12 21:05:00,USD,Choice
ORG_00004MP7,testlocation,Active,2004-03-18 15:22:17,USD,Choice
ORG_00004MP8,CocaColaWaco,Active,2004-03-19 20:58:03,USD,Choice
ORG_00004MP9,CocaColaWestCoast,Active,2004-03-19 20:58:44,USD,Choice
ORG_00004MPA,ConAgraLogistics,Active,2004-03-19 21:44:12,USD,Choice
ORG_00004MPB,CocaColaNCB,Active,2004-03-22 21:35:34,USD,Choice
ORG_00004MPC,FtWayneZD,Active,2004-03-24 19:07:05,USD,Choice
ORG_00004MPD,Kashi,Active,2004-03-31 19:17:55,USD,Choice
ORG_00004MPE,Quaker9084,Active,2004-04-01 17:19:22,USD,Choice
ORG_00004MPF,Quaker2071,Active,2004-04-01 17:46:00,USD,Choice
ORG_00004MPG,Quaker8055,Active,2004-04-01 17:47:28,USD,Choice
ORG_00004MPH,Quaker3085,Active,2004-04-01 17:48:38,USD,Choice
ORG_00004MPI,Quaker2002,Active,2004-04-01 17:49:11,USD,Choice
ORG_00004MPJ,Quaker3089,Active,2004-04-01 17:50:28,USD,Choice
ORG_00004MPK,Quaker2060,Active,2004-04-01 17:51:21,USD,Choice
ORG_00004MPL,Quaker9017,Active,2004-04-01 17:52:07,USD,Choice
ORG_00004MPM,Quaker3079,Active,2004-04-01 17:53:07,USD,Choice
ORG_00004MPN,Quaker2075,Active,2004-04-01 17:54:04,USD,Choice
ORG_00004MPO,Quaker2065,Active,2004-04-01 17:54:48,USD,Choice
ORG_00004MPP,Quaker9020,Active,2004-04-01 17:55:32,USD,Choice
ORG_00004MPQ,Quaker9029,Active,2004-04-01 17:56:45,USD,Choice
ORG_00004MPR,Quaker8082,Active,2004-04-01 17:58:05,USD,Choice
ORG_00004MPS,Pittsburgh,Active,2004-04-02 16:41:56,USD,Choice
ORG_00004MPT,ConAgraRefrigerated,Active,2004-04-07 17:50:44,USD,Choice
ORG_00004MS5,ConAgraPotato,Active,2004-04-27 16:55:16,USD,Choice
ORG_00004MS6,HawaiiDC,Active,2004-04-28 20:37:09,USD,Choice
ORG_00004MS7,Visalia,Active,2004-04-28 20:38:39,USD,Choice
ORG_00004MS8,Mechanicsburg,Active,2004-04-28 20:39:10,USD,Choice
ORG_00004MS9,Multifoods,Active,2004-04-29 14:55:53,USD,Choice
ORG_00004MSA,ConAgraFrozen,Active,2004-05-06 14:32:38,USD,Choice
ORG_00004MSB,ConAgraGilardi,Active,2004-05-06 14:36:16,USD,Choice
ORG_00004MSC,ConAgraSnack,Active,2004-05-06 15:33:34,USD,Choice
ORG_00004MSD,SantaBarbaraZD,Active,2004-05-11 18:50:00,USD,Choice
ORG_00004MSE,SantaBarbara,Active,2004-05-11 18:50:25,USD,Choice
ORG_00004MSF,Moline,Active,2004-05-19 18:26:58,USD,Choice
ORG_00004MSG,MolineZD,Active,2004-05-19 18:34:39,USD,Choice
ORG_00004MSH,littlerock,Active,2004-05-20 19:30:29,USD,Choice
ORG_00004MSI,Toledo,Active,2004-05-25 19:13:30,USD,Choice
ORG_00004MSJ,Fredericksburg,Active,2004-05-27 16:12:15,USD,Choice
ORG_00004MSK,Montgomery,Active,2004-05-27 16:25:41,USD,Choice
ORG_00004MV9,CocaColaIrvine,Active,2004-06-01 19:51:57,USD,Choice
ORG_00004MVA,CocaColaFlorida,Active,2004-06-03 19:31:10,USD,Choice
ORG_00004MVB,Orange,Active,2004-06-07 17:35:39,USD,Choice
ORG_00004MVC,KelloggPikesville,Active,2004-06-08 14:53:54,USD,Choice
ORG_00004MVD,Nestle,Active,2004-06-08 15:12:13,USD,Choice
ORG_00004MVE,NestleDeKalb,Active,2004-06-08 15:14:48,USD,Choice
ORG_00004MVF,NestleFtWorth,Active,2004-06-08 15:15:24,USD,Choice
ORG_00004MVG,NestleMiraLoma,Active,2004-06-08 15:16:12,USD,Choice
ORG_00004MVH,NestleMcDonough,Active,2004-06-08 15:17:33,USD,Choice
ORG_00004MVI,TestDonor6,Active,2004-06-21 14:20:09,USD,Choice
ORG_00004MVJ,SpringfieldDC,Active,2004-06-22 13:40:25,USD,Choice
ORG_00004MVK,Huntsville,Active,2004-06-24 18:11:28,USD,Choice
ORG_00004N2D,TestDonor8,Active,2004-06-29 15:44:07,USD,Choice
ORG_00004N2E,TestAffiliate8,Active,2004-06-29 16:34:34,USD,Choice
ORG_00004N2F,coloradosprings,Active,2004-06-30 18:17:55,USD,Choice
ORG_00004N2G,coloradospringsZC,Active,2004-06-30 18:33:01,USD,Choice
ORG_00004N2H,ScrantonPA,Active,2004-06-30 21:43:41,USD,Choice
