ORGNAME,CITY,NEWGOALFACTOR,FOODBANKGOALFACTOR,ISFRO,FROGOALFACTORWITHFEC,INITIALSHARES,INITIALCREDIT,TEMPCOLUMN1,TEMPCOLUMN2,TEMPCOLUMN3,TEMPCOLUMN4,STATE,CURRENTSHARES,CURRENTCREDIT,CREDITSHARESBORROWED,CREDITSHARESPAID
ChattanoogaZD,ZD-CHATTANOOGA,0.48,0.48,0,,50380.20025770323,45750.0,0.0,0.0,0.0,0.0,TN,1385.872371087052,5866.332500144212,270215.0,236081.3325001442
Chicago,Chicago,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IL,40853.0,0.0,0.0,0.0
Cleveland,Cleveland,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,9860.0,0.0,0.0,0.0
ClevelandZC,ZC-CLEVELAND,1.54,1.54,0,,83171.2748880125,0.0,0.0,0.0,0.0,0.0,OH,37631.492704622055,0.0,0.0,0.0
Lafayette,Lafayette,0.19,0.19,0,,9621.0,59000.0,0.0,0.0,0.0,0.0,IN,3412.3539335006462,5283.314855914448,204350.0,124875.46269134867
coloradosprings,Colorado Springs,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CO,0.0,0.0,0.0,0.0
ColumbiaSC,Columbia,0.74,0.74,0,,0.0,30000.0,0.0,0.0,0.0,0.0,SC,36483.96493178255,30983.890528776697,1010969.0,1007952.8905287767
ColumbusGA,Columbus,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,GA,5400.0,0.0,0.0,0.0
Concord,Concord,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CA,2000.0,0.0,0.0,0.0
Crookston,Crookston,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MN,3000.0,0.0,0.0,0.0
Dallas,Dallas,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,5203.0,0.0,0.0,0.0
Dayton,Dayton,0.0,0.0,0,,1842.8323110583626,0.0,0.0,0.0,0.0,0.0,OH,0.1318148419025114,0.0,0.0,0.0
DesMoinesZC,ZC-DES MOINES,0.0,0.0,0,,23418.14598360319,0.0,0.0,0.0,0.0,0.0,IA,0.486918236019148,0.0,0.0,0.0
Detroit,Detroit,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MI,821.0210415767795,774.5641683876265,468849.0,384243.26371290465
Duluth,Duluth,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MN,0.0,0.0,0.0,0.0
EastHaven,East Haven,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CT,1500.0,0.0,0.0,0.0
Elizabethtown,Elizabethtown,0.36,0.36,0,,4445.47855959925,50000.0,0.0,0.0,0.0,0.0,KY,6037.390611123466,5909.340926041604,572739.5805243446,528648.5713922498
Salinas,Salinas,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CA,0.0,0.0,0.0,0.0
Erie,Erie,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,PA,0.0,0.0,0.0,0.0
Evansville,Evansville,0.07,0.07,0,,2063.9721883853663,0.0,0.0,0.0,0.0,0.0,IN,17636.186345500282,0.0,0.0,0.0
Fargo,Fargo,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,ND,3645.0,0.0,0.0,0.0
Farrell,Farrell,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,PA,0.0,0.0,0.0,0.0
Fayetteville,Fayetteville,0.29,0.29,0,,0.0,53500.0,0.0,0.0,0.0,0.0,NC,169321.52882495127,56999.76721918503,311308.0,311308.0
Flint,Flint,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MI,2000.0,0.0,0.0,0.0
FresnoFB,Fresno,0.37,0.37,0,,6282.640617392817,0.0,0.0,0.0,0.0,0.0,CA,173693.833205209,0.0,0.0,0.0
FtMyers,Ft. Myers,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,FL,0.0,0.0,0.0,0.0
FtWayne,Ft. Wayne,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IN,4000.0,0.0,0.0,0.0
FtWorthZC,ZC-FT. WORTH,1.1,1.1,0,,43485.17228771256,5500.0,0.0,0.0,0.0,0.0,TX,200000.0,20000.0,8391.0,8391.0
GrandRapids,Grand Rapids,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MN,0.0,0.0,0.0,0.0
Greeley,Greeley,0.01,0.01,0,,113.40506529589923,0.0,0.0,0.0,0.0,0.0,CO,114.01272737931792,0.0,0.0,0.0
Hatfield,Hatfield,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MA,0.0,0.0,0.0,0.0
Hiawatha,Hiawatha,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IA,1993.0,0.0,0.0,0.0
Hillside,Hillside,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,NJ,10195.0,0.0,0.0,0.0
HoustonFRO,Houston,0.0,0.0,0,0.0,9832.219161154464,0.0,0.0,0.0,0.0,0.0,TX,0.0,0.0,0.0,0.0
Huntsville,Huntsville,0.33,0.33,0,,0.0,50000.0,0.0,0.0,0.0,0.0,AL,23264.830746831987,50000.0,33103.0,33103.0
Indianapolis,Indianapolis,0.02,0.02,0,,0.0,0.0,0.0,0.0,0.0,0.0,IN,26666.342927383586,0.0,0.0,0.0
JonesboroFB,Jonesboro,0.21,0.21,0,,0.0,57000.0,0.0,0.0,0.0,0.0,AR,2164.845746518078,2664.4597801049154,444576.0,388240.351461553
KansasCity,Kansas City,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MO,23078.5,0.0,0.0,0.0
LaCrosseFRO,La Crosse,0.0,0.0,0,0.0,476.3012742427768,68023.69872575722,0.0,0.0,0.0,0.0,WI,0.0,0.0,0.0,0.0
Lansing,Lansing,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MI,0.313345848543992,0.0,0.0,0.0
LasVegas,Las Vegas,0.69,0.69,0,,26877.00047512812,34000.0,0.0,0.0,0.0,0.0,NV,8108.3570412900335,8807.130380329121,74824.0,53631.13038032912
Latham,Latham,0.67,0.67,0,,47057.431844533385,34000.0,0.0,0.0,0.0,0.0,NY,48283.12796357702,30000.0,7264.0,7264.0
LemoyneFRO,Lemoyne,0.02,0.02,0,0.02,0.0,68000.0,0.0,0.0,0.0,0.0,PA,150140.0661132689,68000.0,0.0,0.0
Lincoln,Lincoln,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,NE,35002.0,0.0,0.0,0.0
Logan,Logan,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,0.0,0.0,0.0,0.0
Lorain,Lorain,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,29200.0,0.0,0.0,0.0
Lubbock,Lubbock,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,1500.0,0.0,0.0,0.0
